URL_ID,Positive_Score,Negative_Score,Polarity_Score,Subjectivity_Score,URL
Netclan20241024,10,3,0.5384614970414233,0.04545454529561348,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/
Netclan20241030,13,6,0.36842103324099823,0.059190030968255355,https://insights.blackcoffer.com/analyzing-the-impact-of-positive-emotions-and-pandemic-severity-on-mental-health-and-resilience-among-entrepreneurs-insights-and-predictive-modeling/
Netclan20241018,8,7,0.06666666222222252,0.031779660949619364,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/
Netclan20241150,4,4,0.0,0.04081632632236568,https://insights.blackcoffer.com/google-local-service-ads-missed-calls-and-messages-automation-tool/
Netclan20241144,7,3,0.39999996000000404,0.04999999975,https://insights.blackcoffer.com/splitting-of-songs-into-its-vocals-and-instrumental/
Netclan20241145,14,2,0.7499999531250029,0.05351170550664981,https://insights.blackcoffer.com/ai-and-ml-technologies-to-evaluate-learning-assessments/
Netclan20241151,4,1,0.599999880000024,0.029585798641504152,https://insights.blackcoffer.com/marketing-ads-leads-call-status-data-tool-to-bigquery/
Netclan20241019,10,3,0.5384614970414233,0.04545454529561348,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/
Netclan20241031,56,15,0.5774647805990876,0.07700650750866973,https://insights.blackcoffer.com/dynamic-brand-centric-dashboard-for-automotive-dealerships-pdf-to-financial-insights-with-flask-react-architecture-and-aws-cloud-hosting/
Netclan20241025,20,10,0.33333332222222256,0.0717703347565303,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/
Netclan20241033,75,12,0.7241379227110584,0.07788719778165873,https://insights.blackcoffer.com/voter-profile-analysis-and-search-application-for-targeted-campaign-engagement-using-government-voter-data/
Netclan20241027,18,6,0.4999999791666675,0.06521739112712666,https://insights.blackcoffer.com/enhancing-model-accuracy-from-58-to-over-90-strategies-for-improving-predictive-performance/
Netclan20241147,5,0,0.99999980000004,0.020661156939416708,https://insights.blackcoffer.com/real-estate-data-warehouse/
Netclan20241153,5,0,0.99999980000004,0.026737967771454717,https://insights.blackcoffer.com/callrail-analytics-leads-report-alert/
Netclan20241152,5,0,0.99999980000004,0.02976190458475057,https://insights.blackcoffer.com/marketing-analytics-to-automate-leads-call-status-and-reporting/
Netclan20241146,9,3,0.4999999583333368,0.03858520887914724,https://insights.blackcoffer.com/datawarehouse-and-recommendations-engine-for-airbnb/
Netclan20241026,54,16,0.5428571351020409,0.05335365849591946,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/
Netclan20241032,25,12,0.35135134185536915,0.05153203335441221,https://insights.blackcoffer.com/cloud-based-data-modeling-and-analysis-platform-with-drag-and-drop-interface-and-openai-api-integration-for-simulation-insights/
Netclan20241036,35,10,0.5555555432098769,0.10563380256893473,https://insights.blackcoffer.com/powerbi-rest-api-fetching-dataflow-and-refresh-schedules-with-semantic-models/
Netclan20241022,3,0,0.9999996666667778,0.019607843009099065,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/
Netclan20241142,2,0,0.99999950000025,0.01587301574703956,https://insights.blackcoffer.com/lipsync-automation-for-celebrities-and-influencers/
Netclan20241156,11,1,0.8333332638888947,0.0370370369227252,https://insights.blackcoffer.com/marbles-stimulation-using-python/
Netclan20241157,12,7,0.26315788088642733,0.028831562930452862,https://insights.blackcoffer.com/stocktwits-data-structurization/
Netclan20241143,3,8,-0.4545454132231443,0.030812324843662958,https://insights.blackcoffer.com/key-audit-matters-predictive-modeling/
Netclan20241023,8,7,0.06666666222222252,0.031779660949619364,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/
Netclan20241037,11,1,0.8333332638888947,0.058536585080309345,https://insights.blackcoffer.com/automated-job-data-import-and-management-solution-for-enhanced-efficiency/
Netclan20241021,9,2,0.636363578512402,0.01985559563202961,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/
Netclan20241035,30,10,0.49999998750000035,0.05706134086011221,https://insights.blackcoffer.com/comprehensive-analysis-of-solana-and-ethereum-contributors-using-github-api-with-comparative-study-of-1000-random-github-profiles/
Netclan20241155,6,1,0.7142856122449125,0.03763440839981501,https://insights.blackcoffer.com/data-etl-local-service-ads-leads-to-bigquery/
Netclan20241141,13,7,0.29999998500000075,0.04514672676039114,https://insights.blackcoffer.com/immigration-datawarehouse-ai-based-recommendations/
Netclan20241140,4,1,0.599999880000024,0.048076922614644975,https://insights.blackcoffer.com/a-leading-firm-in-the-usa-seo-and-website-optimization/
Netclan20241154,6,1,0.7142856122449125,0.03783783763330899,https://insights.blackcoffer.com/marketing-automation-tool-to-notify-lead-details-to-clients-over-email-and-phone/
Netclan20241034,6,3,0.33333329629630043,0.054545454214876034,https://insights.blackcoffer.com/bert-based-classification-of-individuals-and-organizations-into-two-categories-using-natural-language-processing/
Netclan20241020,20,10,0.33333332222222256,0.0717703347565303,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/
Netclan20241084,16,11,0.18518517832647488,0.09712230180891258,https://insights.blackcoffer.com/data-transformation/
Netclan20241090,2,2,0.0,0.01895734588171874,https://insights.blackcoffer.com/trading-bot-for-forex/
Netclan20241047,19,4,0.6521738846880919,0.04989154002192724,https://insights.blackcoffer.com/ai-driven-backend-for-audio-to-text-conversion-and-analytical-assessment-in-pharmaceutical-practice/
Netclan20241053,16,7,0.39130433081285515,0.03314121032688586,https://insights.blackcoffer.com/analyzing-the-impact-of-female-ceo-appointments-on-company-stock-prices/
Netclan20241133,23,15,0.21052631024930765,0.037999999962,https://insights.blackcoffer.com/quickbooks-dashboard-to-find-patterns-in-finance-sales-and-forecasts/
Netclan20241127,5,0,0.99999980000004,0.01396648040791486,https://insights.blackcoffer.com/google-data-studio-dashboard-for-marketing-ads-and-traction-data/
Netclan20241126,11,3,0.5714285306122479,0.0349999999125,https://insights.blackcoffer.com/aws-quicksight-reporting-dashboard/
Netclan20241132,1,7,-0.7499999062500118,0.015267175543383252,https://insights.blackcoffer.com/google-data-studio-pipeline-with-gcp-mysql/
Netclan20241052,22,27,-0.10204081424406503,0.060718711201092054,https://insights.blackcoffer.com/building-a-real-time-log-file-visualization-dashboard-in-kibana/
Netclan20241046,27,4,0.7419354599375658,0.05545617163603547,https://insights.blackcoffer.com/data-studio-dashboard-with-a-data-pipeline-tool-synced-with-podio-using-custom-webhooks-and-google-cloud-function-2/
Netclan20241091,7,2,0.5555554938271674,0.03383458633896772,https://insights.blackcoffer.com/python-model-for-the-analysis-of-sector-specific-stock-etfs-for-investment-purposes%ef%bf%bc/
Netclan20241085,7,1,0.7499999062500118,0.027027026935719504,https://insights.blackcoffer.com/e-commerce-store-analysis-purchase-behavior-ad-spend-conversion-traffic-etc/
Netclan20241093,1,3,-0.49999987500003124,0.015999999936,https://insights.blackcoffer.com/design-develop-bert-question-answering-model-explanations-with-visualization/
Netclan20241087,23,5,0.64285711989796,0.043749999931640624,https://insights.blackcoffer.com/return-on-advertising-spend-dashboard-marketing-automation-and-analytics-using-etl-and-dashboard/
Netclan20241050,18,5,0.5652173667296797,0.057934508670190156,https://insights.blackcoffer.com/steps-to-convert-a-node-js-api-to-python-for-aws-lambda-deployment/
Netclan20241044,21,1,0.9090908677685968,0.03760683754255242,https://insights.blackcoffer.com/sports-prediction-model-for-multiple-sports-leagues/
Netclan20241078,4,2,0.33333327777778704,0.05999999940000001,https://insights.blackcoffer.com/advanced-ai-for-pedestrian-crossing-safety/
Netclan20241124,6,0,0.9999998333333611,0.030927834892124563,https://insights.blackcoffer.com/microsoft-azure-chatbot-with-luis-language-understanding/
Netclan20241130,1,3,-0.49999987500003124,0.024999999843750002,https://insights.blackcoffer.com/creating-a-custom-report-and-dashboard-using-the-data-got-from-atera-api/
Netclan20241118,1,3,-0.49999987500003124,0.01895734588171874,https://insights.blackcoffer.com/real-time-dashboard-to-monitor-infrastructure-activity-and-machines/
Netclan20241119,2,6,-0.4999999375000079,0.022988505681067514,https://insights.blackcoffer.com/electric-vehicles-ev-load-management-system-to-forecast-energy-demand/
Netclan20241131,9,2,0.636363578512402,0.04263565874947419,https://insights.blackcoffer.com/azure-data-lake-and-power-bi-dashboard/
Netclan20241125,7,4,0.2727272479338866,0.04803493428805706,https://insights.blackcoffer.com/impact-of-news-media-and-press-on-innovation-startups-and-investments/
Netclan20241079,2,0,0.99999950000025,0.03030302984389349,https://insights.blackcoffer.com/handgun-detection-using-yolo/
Netclan20241045,16,6,0.4545454338842984,0.04198473274430395,https://insights.blackcoffer.com/efficient-coach-allocation-system-for-sports-coaching-organization/
Netclan20241051,35,28,0.11111110934744271,0.04191616763678232,https://insights.blackcoffer.com/building-an-analytics-dashboard-with-a-pdf-parsing-pipeline-for-data-extraction/
Netclan20241086,10,0,0.99999990000001,0.03717472105139509,https://insights.blackcoffer.com/kpi-dashboard-for-accountants/
Netclan20241092,3,4,-0.1428571224489825,0.022222222151675484,https://insights.blackcoffer.com/medical-classification/
Netclan20241096,3,1,0.49999987500003124,0.010899182531609857,https://insights.blackcoffer.com/etl-and-mlops-infrastructure-for-blockchain-analytics/
Netclan20241082,10,3,0.5384614970414233,0.05327868830623488,https://insights.blackcoffer.com/building-a-physics-informed-neural-network-for-circuit-evaluation/
Netclan20241069,3,9,-0.4999999583333368,0.03692307680946746,https://insights.blackcoffer.com/ai-based-algorithmic-trading-bot-for-forex/
Netclan20241055,23,4,0.7037036776406045,0.04999999990740741,https://insights.blackcoffer.com/healthcare-ai-chatbot-using-llama-llm-langchain/
